docNames,docwiseVerbCounts
0040.txt,101
0047.txt,59
0058.txt,203
0060.txt,79
0121.txt,138
0183.txt,50
0204.txt,345
0278.txt,130
0301.txt,133
0315.txt,62
0376.txt,108
0379.txt,276
0381.txt,111
0414.txt,97
0432.txt,142
0433.txt,208
0437.txt,131
0459.txt,200
0461.txt,75
0548.txt,178
0552.txt,55
0630.txt,86
0633.txt,293
0650.txt,121
0657.txt,293
0768.txt,389
0798.txt,195
0807.txt,290
0823.txt,424
0894.txt,121
0911.txt,186
0924.txt,184
0931.txt,191
0990.txt,268
1116.txt,105
1119.txt,290
1217.txt,222
1284.txt,235
1285.txt,121
1286.txt,190
