verbList,verbProbabilities,verbCounts
$,0,0
-LSB-,0,0
-RSB-,0,0
0500,0.000282286520818631,2
1,0.00112914608327452,8
2,0.00141143260409315,10
3,0.00155257586450247,11
4,0.00112914608327452,8
45,0,0
82-YEARS-OLD,0,0
88,0.000282286520818631,2
89,0.00409315455187015,29
90,0.00112914608327452,8
A,0.0368383909668313,261
ABANDON,0,0
ABANDONED,0,0
ABDUCTED,0,0
ABIDE,0.000141143260409315,1
ABIDING,0,0
ABLE,0.000423429781227946,3
ABOUT,0.000988002822865208,7
ABSENT,0,0
ABSENTMINDED,0,0
ABSORBED,0,0
ABSTAIN,0,0
ABSTAINED,0,0
ABSURD,0,0
ABUSE,0,0
ABUSED,0,0
ABUSING,0,0
ACCELERATE,0,0
ACCELERATED,0,0
ACCEPT,0,0
ACCEPTABLE,0,0
ACCEPTED,0,0
ACCEPTING,0,0
ACCEPTS,0,0
ACCOMPANIED,0.000141143260409315,1
ACCOMPANY,0,0
ACCOMPANYING,0.000141143260409315,1
ACCOMPLICE,0,0
ACCOMPLICES,0,0
ACCOMPLISHED,0.000141143260409315,1
ACCOMPLISHING,0,0
ACCOUNT,0,0
ACCUMULATED,0,0
ACCUMULATING,0,0
ACCUSE,0.000141143260409315,1
ACCUSED,0.000564573041637262,4
ACCUSES,0,0
ACCUSING,0,0
ACCUSTOMED,0,0
ACHIEVE,0.000141143260409315,1
ACHIEVED,0,0
ACHIEVEMENT,0,0
ACHIEVES,0,0
ACHIEVING,0,0
ACKNOWLEDGE,0,0
ACKNOWLEDGED,0.000141143260409315,1
ACKNOWLEDGES,0,0
ACKNOWLEDGING,0,0
ACQUAINTED,0,0
ACQUIRED,0,0
ACQUIRES,0,0
ACQUIRING,0,0
ACQUITTED,0,0
ACT,0.000141143260409315,1
ACTED,0,0
ACTING,0,0
ACTION,0.00127028934368384,9
ACTIONS,0.00141143260409315,10
ACTIVATED,0,0
ACTIVE,0,0
ACTIVITS,0,0
ACTIVITY,0.000282286520818631,2
ACTS,0.000141143260409315,1
ADAPTED,0,0
ADD,0,0
ADDED,0.000423429781227946,3
ADDING,0,0
ADDRESS,0,0
ADDRESSED,0,0
ADDRESSING,0,0
ADDS,0.000423429781227946,3
ADHERED,0,0
ADJOINS,0,0
ADJUST,0,0
ADMINISTRATION,0.000423429781227946,3
ADMIRABLE,0,0
ADMIRE,0,0
ADMIT,0,0
ADMITS,0,0
ADMITTED,0.000282286520818631,2
ADMITTING,0,0
ADOPT,0,0
ADOPTED,0.000141143260409315,1
ADOPTS,0,0
ADVANCE,0.000423429781227946,3
ADVANCED,0,0
ADVANCEMENT,0,0
ADVANCING,0,0
ADVERSARY,0,0
ADVISABLE,0,0
ADVISE,0,0
ADVISED,0,0
ADVISERS,0.000282286520818631,2
ADVISES,0.000141143260409315,1
ADVOCATE,0,0
ADVOCATED,0,0
ADVOCATES,0,0
AFFECT,0,0
AFFECTED,0.000564573041637262,4
AFFECTING,0,0
AFFECTS,0,0
AFFILIATE,0,0
AFFILITATED,0,0
AFFIRM,0,0
AFFIRMED,0,0
AFFLICTED,0,0
AFFLICTING,0,0
AFFLICTS,0,0
AFFORD,0,0
AFRAID,0.000282286520818631,2
AFTERNOON,0.000423429781227946,3
AGENDA,0,0
AGGRAVATE,0,0
AGGRAVATED,0,0
AGREE,0.000423429781227946,3
AGREED,0.000141143260409315,1
AGREEMENT,0,0
AGREEMENTS,0,0
AGREES,0,0
AGRESSIONS,0,0
AID,0.000141143260409315,1
AIDED,0,0
AIDS,0,0
AIM,0,0
AIMED,0.000423429781227946,3
AIMING,0,0
AIMS,0,0
AIR,0.000846859562455893,6
AIRED,0,0
ALARMED,0,0
ALARMING,0.000141143260409315,1
ALARMS,0.000141143260409315,1
ALERT,0.000282286520818631,2
ALERTED,0.000141143260409315,1
ALIAS,0,0
ALIVE,0,0
ALL,0.00381086803105152,27
ALLEGE,0,0
ALLEGED,0.000564573041637262,4
ALLIANCE,0.000282286520818631,2
ALLIED,0,0
ALLIES,0,0
ALLOCATED,0,0
ALLOTED,0,0
ALLOTTED,0,0
ALLOW,0.000141143260409315,1
ALLOWED,0,0
ALLOWING,0,0
ALLOWS,0,0
ALLUDED,0,0
ALLUSION,0,0
ALONE,0,0
ALSO,0.00621030345800988,44
ALVARADO,0,0
ALVAREZ,0,0
AM,0,0
AMAZED,0,0
AMBUSHED,0.000423429781227946,3
AMEND,0,0
AMENDS,0,0
AMERICAN,0.00112914608327452,8
AMMUNITION,0.000141143260409315,1
AMOUNT,0.000282286520818631,2
AMOUNTED,0,0
AMOUNTS,0.000282286520818631,2
ANACHRONISTIC,0,0
ANALYSIS,0,0
ANALYZE,0,0
ANALYZED,0,0
ANALYZES,0,0
ANALYZING,0,0
ANNIHILATE,0,0
ANNIHILATED,0,0
ANNOUNCE,0,0
ANNOUNCED,0.000988002822865208,7
ANNOUNCEDS,0,0
ANNOUNCEMENT,0.000282286520818631,2
ANNOUNCES,0,0
ANNOUNCING,0,0
ANNULLED,0,0
ANONYMOUS,0.000141143260409315,1
ANSWER,0.000141143260409315,1
ANSWERED,0,0
ANTICIPATE,0,0
ANTICIPATED,0,0
APOLOGIZE,0,0
APPARENTLEY,0,0
APPARENTLY,0.000282286520818631,2
APPEAL,0,0
APPEALED,0,0
APPEALING,0,0
APPEAR,0,0
APPEARED,0,0
APPEARING,0,0
APPEARS,0.000141143260409315,1
APPLAUD,0,0
APPLAUDED,0,0
APPLAUDS,0,0
APPLE,0,0
APPLICABLE,0,0
APPLIED,0,0
APPLIES,0,0
APPLY,0,0
APPOINTED,0,0
APPRAISED,0,0
APPRECIATE,0,0
APPRECIATED,0,0
APPRECIATES,0,0
APPROACHED,0,0
APPROACHING,0,0
APPROPRIATE,0,0
APPROPRIATED,0,0
APPROVE,0,0
APPROVED,0,0
ARE,0.0125617501764291,89
AREA,0.0036697247706422,26
AREAS,0.00141143260409315,10
ARENA,0.000141143260409315,1
ARGUE,0,0
ARGUED,0,0
ARISE,0,0
ARISEN,0,0
ARMED,0.0063514467184192,45
ARMENIA,0,0
ARMY,0.0055045871559633,39
AROSE,0,0
ARRAIGNED,0,0
ARRANGE,0,0
ARRANGED,0,0
ARREST,0.000564573041637262,4
ARRESTED,0.00155257586450247,11
ARRESTING,0.000141143260409315,1
ARRIVE,0.000141143260409315,1
ARRIVED,0.00112914608327452,8
ARRIVES,0,0
ARROGANT,0,0
ASHAMED,0,0
ASK,0.000282286520818631,2
ASKED,0.000564573041637262,4
ASKING,0,0
ASKS,0,0
ASPIRE,0,0
ASSASSINATE,0,0
ASSASSINATED,0.000141143260409315,1
ASSASSINATION,0.000141143260409315,1
ASSASSINS,0.000141143260409315,1
ASSAULTED,0,0
ASSERTED,0,0
ASSERTS,0,0
ASSESS,0,0
ASSESSED,0,0
ASSIGN,0,0
ASSIGNED,0,0
ASSIGNS,0,0
ASSIST,0.000141143260409315,1
ASSISTED,0,0
ASSISTING,0,0
ASSOCIATED,0,0
ASSUME,0,0
ASSUMED,0,0
ASSUMES,0,0
ASSUMING,0,0
ASSURE,0,0
ASSURED,0,0
ATTACH,0,0
ATTACHED,0,0
ATTACK,0.00352858151023289,25
ATTACKED,0.00127028934368384,9
ATTACKING,0.000141143260409315,1
ATTACKS,0.0036697247706422,26
ATTAIN,0,0
ATTAINED,0,0
ATTAINS,0,0
ATTEMPT,0,0
ATTEMPTED,0.000141143260409315,1
ATTEMPTING,0.000141143260409315,1
ATTEMPTS,0,0
ATTEND,0,0
ATTENDED,0.000141143260409315,1
ATTENDING,0,0
ATTENDS,0,0
ATTENTIVE,0,0
ATTEST,0,0
ATTIRE,0,0
ATTITUDE,0,0
ATTRIBUTE,0,0
ATTRIBUTED,0.000141143260409315,1
ATTRIBUTES,0,0
ATTRIBUTING,0.000141143260409315,1
AUGMENTED,0,0
AUTHOR,0.000141143260409315,1
AUTHORITY,0,0
AUTHORIZE,0,0
AUTHORIZED,0.000282286520818631,2
AUTHORIZES,0,0
AVAILABLE,0,0
AVAILED,0,0
AVENGE,0,0
AVOID,0.000141143260409315,1
AVOIDED,0,0
AWAIT,0,0
AWAITING,0,0
AWAKEN,0,0
AWAKENS,0,0
AWARDED,0,0
AWARE,0.000141143260409315,1
AWATING,0,0
AWOKE,0,0
AYLWIN,0,0
BACK,0.000282286520818631,2
BACKED,0,0
BACKFIRED,0,0
BACKING,0,0
BAD,0.000141143260409315,1
BALANCE,0,0
BAND,0,0
BANNED,0,0
BAR,0,0
BARED,0,0
BARRANQUILLA,0,0
BASE,0,0
BASED,0.000141143260409315,1
BASES,0,0
BE,0.00705716302046577,50
BEAR,0.000141143260409315,1
BEARS,0,0
BEAT,0,0
BEATEN,0,0
