docNames,docwiseVerbCounts
0001.txt,161
0004.txt,408
0006.txt,142
0011.txt,54
0012.txt,36
0013.txt,284
0014.txt,150
0022.txt,336
0023.txt,172
0028.txt,225
0029.txt,377
0031.txt,43
0032.txt,168
0034.txt,300
0038.txt,136
0039.txt,132
0045.txt,553
0046.txt,32
0047.txt,59
0050.txt,118
0052.txt,64
0053.txt,170
0054.txt,150
0058.txt,203
0059.txt,74
0060.txt,79
0061.txt,237
0062.txt,198
0063.txt,163
0071.txt,170
0072.txt,227
0076.txt,64
0079.txt,111
0084.txt,57
0089.txt,79
0092.txt,78
0093.txt,271
0102.txt,94
0105.txt,130
0112.txt,35
0114.txt,89
0115.txt,51
0121.txt,138
0123.txt,226
0125.txt,237
0126.txt,32
0127.txt,86
0135.txt,298
0136.txt,90
0138.txt,64
0139.txt,117
0140.txt,180
0141.txt,166
0142.txt,224
0143.txt,33
0144.txt,44
0147.txt,176
0148.txt,468
0149.txt,157
0157.txt,150
0158.txt,77
0161.txt,84
0162.txt,91
0169.txt,133
0171.txt,459
0176.txt,81
0179.txt,112
0181.txt,90
0182.txt,146
0185.txt,616
0190.txt,143
0199.txt,55
0201.txt,151
0203.txt,136
0205.txt,264
0210.txt,228
0213.txt,294
0214.txt,113
0217.txt,197
0229.txt,74
0230.txt,195
0231.txt,93
0232.txt,265
0237.txt,56
0238.txt,46
0239.txt,96
0240.txt,73
0241.txt,71
0242.txt,125
0243.txt,217
0244.txt,363
0249.txt,245
0250.txt,203
0251.txt,282
0253.txt,111
0254.txt,79
0256.txt,192
0258.txt,76
0259.txt,79
0264.txt,41
0265.txt,187
0266.txt,179
0267.txt,99
0268.txt,176
0270.txt,71
0271.txt,152
0273.txt,123
0274.txt,94
0276.txt,30
0283.txt,179
0287.txt,108
0288.txt,26
0291.txt,98
0297.txt,75
0298.txt,114
0299.txt,105
0302.txt,61
0305.txt,265
0315.txt,62
0317.txt,161
0319.txt,127
0320.txt,80
0321.txt,79
0322.txt,160
0323.txt,101
0324.txt,75
0325.txt,304
0326.txt,116
0328.txt,394
0334.txt,34
0337.txt,58
0342.txt,110
0345.txt,73
0346.txt,56
0347.txt,165
0348.txt,200
0349.txt,109
0350.txt,197
0351.txt,34
0352.txt,25
0354.txt,95
0355.txt,97
0357.txt,38
0358.txt,117
0361.txt,167
0362.txt,189
0363.txt,109
0365.txt,69
0366.txt,171
0367.txt,183
0369.txt,35
0370.txt,171
0372.txt,83
0373.txt,68
0374.txt,201
0376.txt,108
0381.txt,111
0382.txt,47
0383.txt,102
0384.txt,252
0385.txt,186
0386.txt,149
0387.txt,79
0388.txt,200
0391.txt,180
0392.txt,186
0393.txt,261
0394.txt,159
0395.txt,113
0396.txt,147
0397.txt,128
0398.txt,209
0399.txt,75
0400.txt,47
0401.txt,78
0402.txt,106
0404.txt,202
0405.txt,61
0406.txt,64
0410.txt,52
0411.txt,172
0412.txt,84
0419.txt,80
0422.txt,101
0423.txt,152
0424.txt,41
0425.txt,119
0432.txt,142
0433.txt,208
0438.txt,95
0439.txt,80
0441.txt,71
0446.txt,54
0450.txt,79
0452.txt,100
0453.txt,241
0455.txt,69
0456.txt,56
0459.txt,200
0460.txt,53
0462.txt,22
0463.txt,139
0464.txt,31
0468.txt,163
0470.txt,44
0472.txt,181
0473.txt,291
0475.txt,86
0479.txt,114
0480.txt,120
0482.txt,98
0483.txt,157
0484.txt,175
0498.txt,128
0502.txt,331
0503.txt,56
0510.txt,101
0522.txt,231
0525.txt,246
0532.txt,94
0533.txt,362
0536.txt,214
0544.txt,101
0548.txt,178
0555.txt,239
0560.txt,15
0561.txt,91
0565.txt,241
0575.txt,97
0578.txt,111
0580.txt,144
0581.txt,269
0582.txt,72
0588.txt,58
0589.txt,461
0601.txt,125
0604.txt,246
0608.txt,38
0611.txt,29
0621.txt,208
0622.txt,117
0623.txt,116
0624.txt,115
0627.txt,58
0631.txt,43
0632.txt,226
0636.txt,210
0637.txt,99
0638.txt,234
0639.txt,246
0640.txt,406
0641.txt,223
0642.txt,221
0646.txt,334
0648.txt,228
0649.txt,133
0650.txt,121
0653.txt,127
0659.txt,247
0661.txt,48
0662.txt,372
0669.txt,167
0670.txt,177
0674.txt,209
0675.txt,109
0677.txt,113
0678.txt,188
0680.txt,99
0684.txt,200
0686.txt,113
0687.txt,316
0691.txt,89
0695.txt,108
0702.txt,108
0707.txt,104
0708.txt,85
0711.txt,144
0717.txt,158
0719.txt,120
0727.txt,91
0733.txt,213
0735.txt,181
0742.txt,284
0749.txt,409
0757.txt,112
0759.txt,118
0760.txt,218
0762.txt,275
0766.txt,191
0768.txt,389
0769.txt,210
0771.txt,352
0775.txt,292
0777.txt,219
0778.txt,276
0779.txt,77
0780.txt,408
0781.txt,293
0782.txt,187
0784.txt,274
0785.txt,68
0786.txt,173
0787.txt,271
0788.txt,202
0794.txt,89
0795.txt,31
0796.txt,318
0799.txt,98
0800.txt,109
0801.txt,125
0802.txt,138
0803.txt,80
0804.txt,292
0810.txt,222
0811.txt,268
0814.txt,335
0815.txt,387
0816.txt,145
0817.txt,34
0820.txt,160
0823.txt,424
0824.txt,326
0825.txt,46
0826.txt,209
0828.txt,67
0832.txt,92
0838.txt,72
0841.txt,130
0850.txt,159
0861.txt,55
0864.txt,70
0865.txt,221
0866.txt,245
0873.txt,74
0875.txt,78
0877.txt,352
0882.txt,385
0887.txt,278
0888.txt,251
0890.txt,147
0893.txt,45
0901.txt,116
0910.txt,133
0911.txt,186
0912.txt,122
0931.txt,191
0932.txt,95
0933.txt,92
0940.txt,244
0941.txt,272
0942.txt,283
0943.txt,187
0946.txt,272
0947.txt,220
0950.txt,65
0951.txt,234
0955.txt,73
0957.txt,251
0958.txt,392
0959.txt,262
0962.txt,126
0963.txt,65
0964.txt,73
0965.txt,217
0966.txt,182
0967.txt,39
0968.txt,88
0969.txt,147
0976.txt,90
0977.txt,213
0983.txt,339
0985.txt,76
0989.txt,261
0990.txt,268
0996.txt,55
0998.txt,247
1005.txt,169
1008.txt,95
1010.txt,327
1011.txt,272
1013.txt,192
1020.txt,62
1023.txt,145
1024.txt,177
1026.txt,357
1033.txt,262
1035.txt,102
1039.txt,57
1040.txt,281
1041.txt,156
1042.txt,155
1044.txt,147
1046.txt,59
1048.txt,74
1056.txt,51
1059.txt,251
1060.txt,311
1063.txt,147
1064.txt,43
1073.txt,282
1079.txt,119
1080.txt,226
1085.txt,164
1088.txt,224
1092.txt,263
1093.txt,119
1100.txt,100
1101.txt,181
1103.txt,155
1116.txt,105
1119.txt,290
1122.txt,121
1123.txt,370
1128.txt,142
1132.txt,82
1135.txt,162
1143.txt,146
1146.txt,140
1152.txt,100
1153.txt,113
1164.txt,86
1169.txt,221
1173.txt,233
1175.txt,110
1176.txt,58
1177.txt,420
1178.txt,10
1179.txt,64
1180.txt,88
1181.txt,143
1184.txt,161
1185.txt,79
1186.txt,104
1190.txt,53
1191.txt,234
1195.txt,324
1196.txt,30
1197.txt,167
1206.txt,71
1213.txt,145
1215.txt,88
1217.txt,222
1218.txt,40
1222.txt,187
1229.txt,74
1230.txt,31
1231.txt,173
1232.txt,45
1233.txt,43
1234.txt,99
1235.txt,160
1237.txt,277
1240.txt,309
1241.txt,262
1242.txt,168
1243.txt,297
1245.txt,286
1246.txt,193
1248.txt,49
1249.txt,250
1251.txt,27
1253.txt,376
1254.txt,135
1255.txt,101
1256.txt,52
1257.txt,120
1258.txt,151
1259.txt,129
1260.txt,315
1262.txt,501
1263.txt,500
1277.txt,393
1279.txt,113
1282.txt,169
1284.txt,235
1285.txt,121
1291.txt,132
1293.txt,207
1299.txt,378
