verbList,verbProbabilities,verbCounts
$,0,0
-LSB-,0,0
-RSB-,0,0
0500,3.89453596603965e-05,3
1,0.000843816125975257,65
2,0.00080487076631486,62
3,0.000778907193207929,60
4,0.000376471810050499,29
45,6.49089327673274e-05,5
82-YEARS-OLD,0,0
88,2.5963573106931e-05,2
89,0.00460853422648025,355
90,0.0014279965208812,110
A,0.0309485791434617,2384
ABANDON,3.89453596603965e-05,3
ABANDONED,6.49089327673274e-05,5
ABDUCTED,3.89453596603965e-05,3
ABIDE,5.1927146213862e-05,4
ABIDING,0,0
ABLE,0.00040243538315743,31
ABOUT,0.00211603120821487,163
ABSENT,0,0
ABSENTMINDED,1.29817865534655e-05,1
ABSORBED,0,0
ABSTAIN,6.49089327673274e-05,5
ABSTAINED,1.29817865534655e-05,1
ABSURD,6.49089327673274e-05,5
ABUSE,2.5963573106931e-05,2
ABUSED,1.29817865534655e-05,1
ABUSING,1.29817865534655e-05,1
ACCELERATE,2.5963573106931e-05,2
ACCELERATED,0,0
ACCEPT,0.000168763225195051,13
ACCEPTABLE,1.29817865534655e-05,1
ACCEPTED,9.08725058742584e-05,7
ACCEPTING,1.29817865534655e-05,1
ACCEPTS,2.5963573106931e-05,2
ACCOMPANIED,0.000155781438641586,12
ACCOMPANY,2.5963573106931e-05,2
ACCOMPANYING,7.78907193207929e-05,6
ACCOMPLICE,5.1927146213862e-05,4
ACCOMPLICES,3.89453596603965e-05,3
ACCOMPLISHED,5.1927146213862e-05,4
ACCOMPLISHING,0,0
ACCOUNT,2.5963573106931e-05,2
ACCUMULATED,0,0
ACCUMULATING,0,0
ACCUSE,0.000103854292427724,8
ACCUSED,0.000454362529371292,35
ACCUSES,1.29817865534655e-05,1
ACCUSING,0.000129817865534655,10
ACCUSTOMED,0,0
ACHIEVE,0.000428398956264361,33
ACHIEVED,5.1927146213862e-05,4
ACHIEVEMENT,0,0
ACHIEVES,0,0
ACHIEVING,5.1927146213862e-05,4
ACKNOWLEDGE,0,0
ACKNOWLEDGED,3.89453596603965e-05,3
ACKNOWLEDGES,3.89453596603965e-05,3
ACKNOWLEDGING,1.29817865534655e-05,1
ACQUAINTED,0,0
ACQUIRED,0,0
ACQUIRES,0,0
ACQUIRING,1.29817865534655e-05,1
ACQUITTED,0,0
ACT,0.000298581090729706,23
ACTED,0.000103854292427724,8
ACTING,0.000116836078981189,9
ACTION,0.000701016473887136,54
ACTIONS,0.00145396009398813,112
ACTIVATED,0,0
ACTIVE,5.1927146213862e-05,4
ACTIVITS,1.29817865534655e-05,1
ACTIVITY,0.000129817865534655,10
ACTS,0.00025963573106931,20
ADAPTED,0,0
ADD,0.000181745011748517,14
ADDED,0.00120730614947229,93
ADDING,0.000129817865534655,10
ADDRESS,5.1927146213862e-05,4
ADDRESSED,3.89453596603965e-05,3
ADDRESSING,2.5963573106931e-05,2
ADDS,0.000155781438641586,12
ADHERED,0,0
ADJOINS,1.29817865534655e-05,1
ADJUST,1.29817865534655e-05,1
ADMINISTRATION,0.000480326102478223,37
ADMIRABLE,1.29817865534655e-05,1
ADMIRE,2.5963573106931e-05,2
ADMIT,6.49089327673274e-05,5
ADMITS,2.5963573106931e-05,2
ADMITTED,0.000324544663836637,25
ADMITTING,3.89453596603965e-05,3
ADOPT,0.00014279965208812,11
ADOPTED,0.000181745011748517,14
ADOPTS,1.29817865534655e-05,1
ADVANCE,9.08725058742584e-05,7
ADVANCED,2.5963573106931e-05,2
ADVANCEMENT,0,0
ADVANCING,2.5963573106931e-05,2
ADVERSARY,0,0
ADVISABLE,3.89453596603965e-05,3
ADVISE,3.89453596603965e-05,3
ADVISED,2.5963573106931e-05,2
ADVISERS,0.000116836078981189,9
ADVISES,2.5963573106931e-05,2
ADVOCATE,2.5963573106931e-05,2
ADVOCATED,5.1927146213862e-05,4
ADVOCATES,0,0
AFFECT,7.78907193207929e-05,6
AFFECTED,0.000194726798301982,15
AFFECTING,0.000103854292427724,8
AFFECTS,6.49089327673274e-05,5
AFFILIATE,0,0
AFFILITATED,0,0
AFFIRM,0,0
AFFIRMED,2.5963573106931e-05,2
AFFLICTED,0,0
AFFLICTING,1.29817865534655e-05,1
AFFLICTS,1.29817865534655e-05,1
AFFORD,1.29817865534655e-05,1
AFRAID,9.08725058742584e-05,7
AFTERNOON,0.000298581090729706,23
AGENDA,5.1927146213862e-05,4
AGGRAVATE,0,0
AGGRAVATED,1.29817865534655e-05,1
AGREE,0.000116836078981189,9
AGREED,0.00014279965208812,11
AGREEMENT,0.000285599304176241,22
AGREEMENTS,0.000168763225195051,13
AGREES,2.5963573106931e-05,2
AGRESSIONS,0,0
AID,0.000895743272189119,69
AIDED,0,0
AIDS,1.29817865534655e-05,1
AIM,5.1927146213862e-05,4
AIMED,0.000272617517622775,21
AIMING,1.29817865534655e-05,1
AIMS,2.5963573106931e-05,2
AIR,0.00092170684529605,71
AIRED,0,0
ALARMED,2.5963573106931e-05,2
ALARMING,1.29817865534655e-05,1
ALARMS,1.29817865534655e-05,1
ALERT,0.000129817865534655,10
ALERTED,3.89453596603965e-05,3
ALIAS,9.08725058742584e-05,7
ALIVE,0,0
ALL,0.00401137204502084,309
ALLEGE,0,0
ALLEGED,0.000675052900780205,52
ALLIANCE,0.000324544663836637,25
ALLIED,1.29817865534655e-05,1
ALLIES,2.5963573106931e-05,2
ALLOCATED,0,0
ALLOTED,0,0
ALLOTTED,1.29817865534655e-05,1
ALLOW,0.000324544663836637,25
ALLOWED,0.00014279965208812,11
ALLOWING,7.78907193207929e-05,6
ALLOWS,5.1927146213862e-05,4
ALLUDED,0,0
ALLUSION,1.29817865534655e-05,1
ALONE,1.29817865534655e-05,1
ALSO,0.00492009710376342,379
ALVARADO,2.5963573106931e-05,2
ALVAREZ,0.000116836078981189,9
AM,0.000467344315924758,36
AMAZED,1.29817865534655e-05,1
AMBUSHED,0.000116836078981189,9
AMEND,1.29817865534655e-05,1
AMENDS,0,0
AMERICAN,0.00123326972257922,95
AMMUNITION,0.000129817865534655,10
AMOUNT,0.000103854292427724,8
AMOUNTED,0,0
AMOUNTS,2.5963573106931e-05,2
ANACHRONISTIC,0,0
ANALYSIS,6.49089327673274e-05,5
ANALYZE,0.000129817865534655,10
ANALYZED,2.5963573106931e-05,2
ANALYZES,0,0
ANALYZING,3.89453596603965e-05,3
ANNIHILATE,6.49089327673274e-05,5
ANNIHILATED,3.89453596603965e-05,3
ANNOUNCE,9.08725058742584e-05,7
ANNOUNCED,0.000973633991509912,75
ANNOUNCEDS,0,0
ANNOUNCEMENT,0.000246653944515844,19
ANNOUNCES,2.5963573106931e-05,2
ANNOUNCING,1.29817865534655e-05,1
ANNULLED,2.5963573106931e-05,2
ANONYMOUS,0.000103854292427724,8
ANSWER,0.000168763225195051,13
ANSWERED,2.5963573106931e-05,2
ANTICIPATE,1.29817865534655e-05,1
ANTICIPATED,1.29817865534655e-05,1
APOLOGIZE,0,0
APPARENTLEY,0,0
APPARENTLY,0.000285599304176241,22
APPEAL,6.49089327673274e-05,5
APPEALED,3.89453596603965e-05,3
APPEALING,0,0
APPEAR,5.1927146213862e-05,4
APPEARED,6.49089327673274e-05,5
APPEARING,0,0
APPEARS,9.08725058742584e-05,7
APPLAUD,1.29817865534655e-05,1
APPLAUDED,0,0
APPLAUDS,0,0
APPLE,0,0
APPLICABLE,0,0
APPLIED,2.5963573106931e-05,2
APPLIES,2.5963573106931e-05,2
APPLY,5.1927146213862e-05,4
APPOINTED,0.000129817865534655,10
APPRAISED,0,0
APPRECIATE,0,0
APPRECIATED,1.29817865534655e-05,1
APPRECIATES,0,0
APPROACHED,2.5963573106931e-05,2
APPROACHING,1.29817865534655e-05,1
APPROPRIATE,0.000129817865534655,10
APPROPRIATED,0,0
APPROVE,5.1927146213862e-05,4
APPROVED,0.000116836078981189,9
ARE,0.0112811725149615,869
AREA,0.00125923329568615,97
AREAS,0.000597162181459412,46
ARENA,0.000415417169710896,32
ARGUE,0,0
ARGUED,0,0
ARISE,0,0
ARISEN,0,0
ARMED,0.00540042320624164,416
ARMENIA,0,0
ARMY,0.00333631914424063,257
AROSE,1.29817865534655e-05,1
ARRAIGNED,0,0
ARRANGE,1.29817865534655e-05,1
ARRANGED,1.29817865534655e-05,1
ARREST,0.000532253248692085,41
ARRESTED,0.000791888979761395,61
ARRESTING,0,0
ARRIVE,7.78907193207929e-05,6
ARRIVED,0.000545235035245551,42
ARRIVES,0,0
ARROGANT,1.29817865534655e-05,1
ASHAMED,0,0
ASK,0.000285599304176241,22
ASKED,0.000765925406654464,59
ASKING,0.000103854292427724,8
ASKS,3.89453596603965e-05,3
ASPIRE,0,0
ASSASSINATE,7.78907193207929e-05,6
ASSASSINATED,0.000389453596603965,30
