docNames,docwiseVerbCounts
0008.txt,106
0016.txt,47
0018.txt,97
0024.txt,149
0041.txt,89
0042.txt,52
0044.txt,60
0051.txt,53
0075.txt,140
0076.txt,64
0078.txt,67
0089.txt,79
0094.txt,43
0097.txt,55
0100.txt,22
0105.txt,130
0106.txt,260
0107.txt,52
0112.txt,35
0116.txt,76
0117.txt,104
0118.txt,180
0121.txt,138
0125.txt,237
0127.txt,86
0134.txt,142
0135.txt,298
0147.txt,176
0148.txt,468
0150.txt,60
0158.txt,77
0160.txt,50
0165.txt,49
0173.txt,224
0174.txt,102
0179.txt,112
0190.txt,143
0194.txt,68
0197.txt,103
0198.txt,182
0203.txt,136
0205.txt,264
0207.txt,141
0220.txt,32
0221.txt,30
0222.txt,59
0223.txt,103
0225.txt,182
0229.txt,74
0255.txt,145
0256.txt,192
0257.txt,166
0260.txt,94
0261.txt,83
0263.txt,74
0274.txt,94
0277.txt,49
0279.txt,320
0280.txt,102
0285.txt,151
0286.txt,181
0289.txt,51
0293.txt,34
0303.txt,109
0304.txt,140
0306.txt,98
0310.txt,106
0316.txt,82
0318.txt,83
0322.txt,160
0338.txt,312
0340.txt,73
0371.txt,176
0372.txt,83
0380.txt,84
0389.txt,88
0394.txt,159
0407.txt,77
0413.txt,182
0414.txt,97
0415.txt,180
0418.txt,60
0419.txt,80
0420.txt,85
0422.txt,101
0423.txt,152
0427.txt,176
0433.txt,208
0434.txt,51
0435.txt,21
0437.txt,131
0440.txt,87
0442.txt,98
0443.txt,27
0448.txt,82
0449.txt,113
0451.txt,54
0453.txt,241
0457.txt,89
0465.txt,53
0470.txt,44
0474.txt,77
0487.txt,65
0488.txt,60
0490.txt,84
0491.txt,112
0494.txt,38
0501.txt,75
0503.txt,56
0504.txt,38
0508.txt,68
0509.txt,35
0510.txt,101
0511.txt,131
0514.txt,85
0519.txt,335
0521.txt,345
0522.txt,231
0523.txt,171
0524.txt,70
0548.txt,178
0550.txt,53
0551.txt,160
0554.txt,176
0558.txt,202
0559.txt,255
0563.txt,74
0568.txt,206
0586.txt,91
0592.txt,49
0593.txt,84
0605.txt,89
0607.txt,68
0610.txt,250
0618.txt,58
0619.txt,67
0620.txt,106
0621.txt,208
0622.txt,117
0623.txt,116
0625.txt,83
0630.txt,86
0632.txt,226
0633.txt,293
0634.txt,91
0635.txt,244
0641.txt,223
0644.txt,56
0649.txt,133
0650.txt,121
0657.txt,293
0667.txt,141
0669.txt,167
0670.txt,177
0671.txt,78
0674.txt,209
0695.txt,108
0697.txt,119
0713.txt,90
0716.txt,94
0718.txt,276
0719.txt,120
0749.txt,409
0753.txt,100
0805.txt,82
0848.txt,51
0876.txt,175
0883.txt,156
0894.txt,121
0930.txt,194
0936.txt,246
0938.txt,162
0942.txt,283
0944.txt,166
0945.txt,124
0948.txt,89
0987.txt,237
1011.txt,272
1026.txt,357
1032.txt,43
1043.txt,158
1068.txt,80
1078.txt,293
1106.txt,36
1118.txt,152
1128.txt,142
1134.txt,353
1145.txt,508
1158.txt,265
1173.txt,233
1176.txt,58
1190.txt,53
1191.txt,234
1193.txt,87
1195.txt,324
1200.txt,142
1201.txt,64
1207.txt,228
1208.txt,340
1214.txt,185
1217.txt,222
1236.txt,192
1271.txt,112
1283.txt,72
1284.txt,235
1286.txt,190
1292.txt,57
1296.txt,125
