verbList,verbProbabilities,verbCounts
$,0,0
-LSB-,0,0
-RSB-,0,0
0500,0.000141377725939278,4
1,0.00109567737602941,31
2,0.00134308839642314,38
3,0.00148446612236242,42
4,0.000636199766726752,18
45,0.000106033294454459,3
82-YEARS-OLD,0,0
88,7.06888629696391e-05,2
89,0.00593786448944969,168
90,0.00123705510196868,35
A,0.0385607747499381,1091
ABANDON,3.53444314848196e-05,1
ABANDONED,7.06888629696391e-05,2
ABDUCTED,3.53444314848196e-05,1
ABIDE,3.53444314848196e-05,1
ABIDING,0,0
ABLE,0.000388788746333015,11
ABOUT,0.0018025660057258,51
ABSENT,7.06888629696391e-05,2
ABSENTMINDED,0,0
ABSORBED,0,0
ABSTAIN,0.000106033294454459,3
ABSTAINED,3.53444314848196e-05,1
ABSURD,0,0
ABUSE,3.53444314848196e-05,1
ABUSED,0,0
ABUSING,0,0
ACCELERATE,3.53444314848196e-05,1
ACCELERATED,0,0
ACCEPT,0.000247411020393737,7
ACCEPTABLE,0,0
ACCEPTED,0.000106033294454459,3
ACCEPTING,7.06888629696391e-05,2
ACCEPTS,0,0
ACCOMPANIED,0.000353444314848196,10
ACCOMPANY,0.000106033294454459,3
ACCOMPANYING,7.06888629696391e-05,2
ACCOMPLICE,3.53444314848196e-05,1
ACCOMPLICES,3.53444314848196e-05,1
ACCOMPLISHED,0,0
ACCOMPLISHING,0,0
ACCOUNT,3.53444314848196e-05,1
ACCUMULATED,0,0
ACCUMULATING,0,0
ACCUSE,3.53444314848196e-05,1
ACCUSED,0.000282755451878557,8
ACCUSES,3.53444314848196e-05,1
ACCUSING,7.06888629696391e-05,2
ACCUSTOMED,0,0
ACHIEVE,0.000318099883363376,9
ACHIEVED,7.06888629696391e-05,2
ACHIEVEMENT,3.53444314848196e-05,1
ACHIEVES,0,0
ACHIEVING,7.06888629696391e-05,2
ACKNOWLEDGE,0,0
ACKNOWLEDGED,3.53444314848196e-05,1
ACKNOWLEDGES,0,0
ACKNOWLEDGING,0,0
ACQUAINTED,0,0
ACQUIRED,3.53444314848196e-05,1
ACQUIRES,0,0
ACQUIRING,0,0
ACQUITTED,0,0
ACT,0.000494822040787474,14
ACTED,3.53444314848196e-05,1
ACTING,0.000176722157424098,5
ACTION,0.000989644081574948,28
ACTIONS,0.0012723995334535,36
ACTIVATED,3.53444314848196e-05,1
ACTIVE,0.000106033294454459,3
ACTIVITS,3.53444314848196e-05,1
ACTIVITY,0.000212066588908917,6
ACTS,0.000459477609302654,13
ADAPTED,0,0
ADD,0.000106033294454459,3
ADDED,0.00081292192415085,23
ADDING,3.53444314848196e-05,1
ADDRESS,0,0
ADDRESSED,3.53444314848196e-05,1
ADDRESSING,0,0
ADDS,0.000353444314848196,10
ADHERED,0,0
ADJOINS,0,0
ADJUST,3.53444314848196e-05,1
ADMINISTRATION,0.000353444314848196,10
ADMIRABLE,0,0
ADMIRE,0,0
ADMIT,0,0
ADMITS,3.53444314848196e-05,1
ADMITTED,0.000247411020393737,7
ADMITTING,0,0
ADOPT,7.06888629696391e-05,2
ADOPTED,0.000176722157424098,5
ADOPTS,0,0
ADVANCE,0.000141377725939278,4
ADVANCED,3.53444314848196e-05,1
ADVANCEMENT,3.53444314848196e-05,1
ADVANCING,3.53444314848196e-05,1
ADVERSARY,0,0
ADVISABLE,3.53444314848196e-05,1
ADVISE,7.06888629696391e-05,2
ADVISED,3.53444314848196e-05,1
ADVISERS,0.000141377725939278,4
ADVISES,3.53444314848196e-05,1
ADVOCATE,0,0
ADVOCATED,7.06888629696391e-05,2
ADVOCATES,0,0
AFFECT,7.06888629696391e-05,2
AFFECTED,0.000388788746333015,11
AFFECTING,0.000247411020393737,7
AFFECTS,0.000106033294454459,3
AFFILIATE,0,0
AFFILITATED,0,0
AFFIRM,0,0
AFFIRMED,3.53444314848196e-05,1
AFFLICTED,0,0
AFFLICTING,0,0
AFFLICTS,0,0
AFFORD,0,0
AFRAID,7.06888629696391e-05,2
AFTERNOON,0.000388788746333015,11
AGENDA,3.53444314848196e-05,1
AGGRAVATE,0,0
AGGRAVATED,0,0
AGREE,7.06888629696391e-05,2
AGREED,3.53444314848196e-05,1
AGREEMENT,0.000282755451878557,8
AGREEMENTS,0.000176722157424098,5
AGREES,3.53444314848196e-05,1
AGRESSIONS,0,0
AID,0.000176722157424098,5
AIDED,3.53444314848196e-05,1
AIDS,3.53444314848196e-05,1
AIM,7.06888629696391e-05,2
AIMED,0.000141377725939278,4
AIMING,0,0
AIMS,0,0
AIR,0.000706888629696391,20
AIRED,0,0
ALARMED,7.06888629696391e-05,2
ALARMING,3.53444314848196e-05,1
ALARMS,0,0
ALERT,0.000176722157424098,5
ALERTED,0,0
ALIAS,0.000141377725939278,4
ALIVE,0,0
ALL,0.00240342134096773,68
ALLEGE,0,0
ALLEGED,0.000600855335241933,17
ALLIANCE,0.000388788746333015,11
ALLIED,0,0
ALLIES,3.53444314848196e-05,1
ALLOCATED,0,0
ALLOTED,0,0
ALLOTTED,0,0
ALLOW,7.06888629696391e-05,2
ALLOWED,0.000247411020393737,7
ALLOWING,0.000141377725939278,4
ALLOWS,0,0
ALLUDED,0,0
ALLUSION,0,0
ALONE,0,0
ALSO,0.00445339836708727,126
ALVARADO,3.53444314848196e-05,1
ALVAREZ,3.53444314848196e-05,1
AM,0.000106033294454459,3
AMAZED,0,0
AMBUSHED,7.06888629696391e-05,2
AMEND,0,0
AMENDS,0,0
AMERICAN,0.000742233061181211,21
AMMUNITION,0,0
AMOUNT,0.000282755451878557,8
AMOUNTED,0,0
AMOUNTS,7.06888629696391e-05,2
ANACHRONISTIC,0,0
ANALYSIS,0,0
ANALYZE,0,0
ANALYZED,0,0
ANALYZES,0,0
ANALYZING,3.53444314848196e-05,1
ANNIHILATE,0,0
ANNIHILATED,0,0
ANNOUNCE,3.53444314848196e-05,1
ANNOUNCED,0.00102498851305977,29
ANNOUNCEDS,0,0
ANNOUNCEMENT,0.000176722157424098,5
ANNOUNCES,3.53444314848196e-05,1
ANNOUNCING,0,0
ANNULLED,3.53444314848196e-05,1
ANONYMOUS,0.000106033294454459,3
ANSWER,7.06888629696391e-05,2
ANSWERED,0,0
ANTICIPATE,0,0
ANTICIPATED,0,0
APOLOGIZE,0,0
APPARENTLEY,0,0
APPARENTLY,0.000494822040787474,14
APPEAL,3.53444314848196e-05,1
APPEALED,0,0
APPEALING,0,0
APPEAR,3.53444314848196e-05,1
APPEARED,0.000106033294454459,3
APPEARING,3.53444314848196e-05,1
APPEARS,0.000106033294454459,3
APPLAUD,0,0
APPLAUDED,0,0
APPLAUDS,3.53444314848196e-05,1
APPLE,0,0
APPLICABLE,0,0
APPLIED,3.53444314848196e-05,1
APPLIES,3.53444314848196e-05,1
APPLY,3.53444314848196e-05,1
APPOINTED,0,0
APPRAISED,3.53444314848196e-05,1
APPRECIATE,0,0
APPRECIATED,0,0
APPRECIATES,0,0
APPROACHED,3.53444314848196e-05,1
APPROACHING,3.53444314848196e-05,1
APPROPRIATE,0.000247411020393737,7
APPROPRIATED,0,0
APPROVE,3.53444314848196e-05,1
APPROVED,0.000176722157424098,5
ARE,0.0106740183084155,302
AREA,0.0018025660057258,51
AREAS,0.000636199766726752,18
ARENA,0.000247411020393737,7
ARGUE,0,0
ARGUED,0,0
ARISE,0,0
ARISEN,0,0
ARMED,0.00466546495599618,132
ARMENIA,0,0
ARMY,0.00311030997066412,88
AROSE,0,0
ARRAIGNED,0.000106033294454459,3
ARRANGE,0,0
ARRANGED,0,0
ARREST,0.000459477609302654,13
ARRESTED,0.00102498851305977,29
ARRESTING,3.53444314848196e-05,1
ARRIVE,0,0
ARRIVED,0.000424133177817835,12
ARRIVES,0,0
ARROGANT,0,0
ASHAMED,3.53444314848196e-05,1
ASK,0.000176722157424098,5
ASKED,0.000353444314848196,10
ASKING,0.000176722157424098,5
ASKS,0,0
ASPIRE,0,0
ASSASSINATE,3.53444314848196e-05,1
ASSASSINATED,0.000106033294454459,3
ASSASSINATION,0.000212066588908917,6
ASSASSINS,3.53444314848196e-05,1
ASSAULTED,0,0
ASSERTED,0.000247411020393737,7
ASSERTS,3.53444314848196e-05,1
ASSESS,0,0
ASSESSED,0,0
ASSIGN,0,0
ASSIGNED,0,0
ASSIGNS,0,0
ASSIST,7.06888629696391e-05,2
ASSISTED,0,0
ASSISTING,0,0
ASSOCIATED,3.53444314848196e-05,1
ASSUME,7.06888629696391e-05,2
ASSUMED,3.53444314848196e-05,1
ASSUMES,0,0
ASSUMING,0,0
ASSURE,0,0
ASSURED,3.53444314848196e-05,1
ATTACH,3.53444314848196e-05,1
ATTACHED,7.06888629696391e-05,2
ATTACK,0.00604389778390415,171
ATTACKED,0.00130774396493832,37
