docNames,docwiseVerbCounts
0001.txt,161
0008.txt,106
0025.txt,60
0026.txt,85
0031.txt,43
0033.txt,92
0036.txt,107
0037.txt,132
0040.txt,101
0077.txt,135
0125.txt,237
0183.txt,50
0233.txt,112
0283.txt,179
0284.txt,143
0300.txt,52
0326.txt,116
0373.txt,68
0381.txt,111
0386.txt,149
0389.txt,88
0402.txt,106
0403.txt,142
0412.txt,84
0458.txt,86
0467.txt,37
0468.txt,163
0518.txt,117
0527.txt,78
0528.txt,49
0537.txt,99
0539.txt,149
0542.txt,111
0547.txt,74
0556.txt,111
0557.txt,153
0573.txt,77
0577.txt,187
0646.txt,334
0649.txt,133
0653.txt,127
0656.txt,45
0663.txt,58
0693.txt,283
0735.txt,181
0742.txt,284
0834.txt,75
0835.txt,133
0836.txt,88
0840.txt,111
0901.txt,116
0905.txt,186
0980.txt,110
1003.txt,94
1012.txt,20
1049.txt,162
1062.txt,49
1077.txt,133
1092.txt,263
1104.txt,34
1105.txt,75
1107.txt,62
1109.txt,96
1110.txt,92
1120.txt,28
1122.txt,121
1127.txt,55
1130.txt,102
1131.txt,143
1139.txt,93
1143.txt,146
1150.txt,211
1161.txt,69
1162.txt,306
1164.txt,86
1192.txt,64
1195.txt,324
1200.txt,142
1212.txt,27
1218.txt,40
1221.txt,73
1251.txt,27
1300.txt,208
