verbList,verbProbabilities,verbCounts
$,0,0
-LSB-,0,0
-RSB-,0,0
0500,0,0
1,0.000512347576595963,5
2,0.00112716466851112,11
3,0.00102469515319193,10
4,0.000512347576595963,5
45,0,0
82-YEARS-OLD,0,0
88,0,0
89,0.00461112818936366,45
90,0.00358643303617174,35
A,0.0344297571472487,336
ABANDON,0,0
ABANDONED,0.000102469515319193,1
ABDUCTED,0.000717286607234348,7
ABIDE,0.000102469515319193,1
ABIDING,0,0
ABLE,0.000204939030638385,2
ABOUT,0.00174198176042627,17
ABSENT,0,0
ABSENTMINDED,0,0
ABSORBED,0,0
ABSTAIN,0,0
ABSTAINED,0,0
ABSURD,0,0
ABUSE,0,0
ABUSED,0,0
ABUSING,0,0
ACCELERATE,0,0
ACCELERATED,0,0
ACCEPT,0,0
ACCEPTABLE,0,0
ACCEPTED,0,0
ACCEPTING,0.000102469515319193,1
ACCEPTS,0,0
ACCOMPANIED,0,0
ACCOMPANY,0.000204939030638385,2
ACCOMPANYING,0,0
ACCOMPLICE,0,0
ACCOMPLICES,0,0
ACCOMPLISHED,0,0
ACCOMPLISHING,0,0
ACCOUNT,0.000204939030638385,2
ACCUMULATED,0,0
ACCUMULATING,0,0
ACCUSE,0,0
ACCUSED,0.00040987806127677,4
ACCUSES,0,0
ACCUSING,0.000204939030638385,2
ACCUSTOMED,0.000102469515319193,1
ACHIEVE,0.000102469515319193,1
ACHIEVED,0,0
ACHIEVEMENT,0,0
ACHIEVES,0,0
ACHIEVING,0,0
ACKNOWLEDGE,0,0
ACKNOWLEDGED,0,0
ACKNOWLEDGES,0,0
ACKNOWLEDGING,0,0
ACQUAINTED,0,0
ACQUIRED,0,0
ACQUIRES,0,0
ACQUIRING,0,0
ACQUITTED,0.000102469515319193,1
ACT,0.000307408545957578,3
ACTED,0.000102469515319193,1
ACTING,0.000204939030638385,2
ACTION,0.00112716466851112,11
ACTIONS,0.000307408545957578,3
ACTIVATED,0,0
ACTIVE,0.00040987806127677,4
ACTIVITS,0,0
ACTIVITY,0,0
ACTS,0.000307408545957578,3
ADAPTED,0,0
ADD,0.000102469515319193,1
ADDED,0.00153704272978789,15
ADDING,0.000204939030638385,2
ADDRESS,0,0
ADDRESSED,0.000102469515319193,1
ADDRESSING,0.000102469515319193,1
ADDS,0.000204939030638385,2
ADHERED,0,0
ADJOINS,0,0
ADJUST,0,0
ADMINISTRATION,0.00040987806127677,4
ADMIRABLE,0,0
ADMIRE,0,0
ADMIT,0,0
ADMITS,0,0
ADMITTED,0.00040987806127677,4
ADMITTING,0,0
ADOPT,0,0
ADOPTED,0,0
ADOPTS,0,0
ADVANCE,0.000102469515319193,1
ADVANCED,0,0
ADVANCEMENT,0,0
ADVANCING,0,0
ADVERSARY,0,0
ADVISABLE,0,0
ADVISE,0,0
ADVISED,0.000102469515319193,1
ADVISERS,0.000204939030638385,2
ADVISES,0,0
ADVOCATE,0,0
ADVOCATED,0,0
ADVOCATES,0,0
AFFECT,0,0
AFFECTED,0.000102469515319193,1
AFFECTING,0.000204939030638385,2
AFFECTS,0.000102469515319193,1
AFFILIATE,0,0
AFFILITATED,0,0
AFFIRM,0,0
AFFIRMED,0,0
AFFLICTED,0,0
AFFLICTING,0,0
AFFLICTS,0,0
AFFORD,0,0
AFRAID,0,0
AFTERNOON,0.000307408545957578,3
AGENDA,0.000102469515319193,1
AGGRAVATE,0,0
AGGRAVATED,0.000102469515319193,1
AGREE,0.000102469515319193,1
AGREED,0.000102469515319193,1
AGREEMENT,0.00040987806127677,4
AGREEMENTS,0,0
AGREES,0.000102469515319193,1
AGRESSIONS,0,0
AID,0.000102469515319193,1
AIDED,0,0
AIDS,0,0
AIM,0,0
AIMED,0.000307408545957578,3
AIMING,0,0
AIMS,0.000102469515319193,1
AIR,0.000307408545957578,3
AIRED,0,0
ALARMED,0,0
ALARMING,0,0
ALARMS,0,0
ALERT,0.000204939030638385,2
ALERTED,0,0
ALIAS,0,0
ALIVE,0.000102469515319193,1
ALL,0.0013321036991495,13
ALLEGE,0,0
ALLEGED,0.000922225637872733,9
ALLIANCE,0.000102469515319193,1
ALLIED,0,0
ALLIES,0,0
ALLOCATED,0,0
ALLOTED,0,0
ALLOTTED,0.000102469515319193,1
ALLOW,0.000102469515319193,1
ALLOWED,0.000102469515319193,1
ALLOWING,0,0
ALLOWS,0,0
ALLUDED,0,0
ALLUSION,0,0
ALONE,0.000102469515319193,1
ALSO,0.0054308843119172,53
ALVARADO,0,0
ALVAREZ,0,0
AM,0,0
AMAZED,0,0
AMBUSHED,0,0
AMEND,0,0
AMENDS,0,0
AMERICAN,0.000512347576595963,5
AMMUNITION,0.000307408545957578,3
AMOUNT,0,0
AMOUNTED,0,0
AMOUNTS,0,0
ANACHRONISTIC,0,0
ANALYSIS,0,0
ANALYZE,0.000307408545957578,3
ANALYZED,0,0
ANALYZES,0,0
ANALYZING,0,0
ANNIHILATE,0,0
ANNIHILATED,0,0
ANNOUNCE,0,0
ANNOUNCED,0.00184445127574547,18
ANNOUNCEDS,0,0
ANNOUNCEMENT,0.000102469515319193,1
ANNOUNCES,0.000204939030638385,2
ANNOUNCING,0,0
ANNULLED,0.000102469515319193,1
ANONYMOUS,0,0
ANSWER,0,0
ANSWERED,0,0
ANTICIPATE,0,0
ANTICIPATED,0,0
APOLOGIZE,0,0
APPARENTLEY,0,0
APPARENTLY,0.000614817091915155,6
APPEAL,0.000102469515319193,1
APPEALED,0.000102469515319193,1
APPEALING,0,0
APPEAR,0,0
APPEARED,0.000102469515319193,1
APPEARING,0,0
APPEARS,0,0
APPLAUD,0,0
APPLAUDED,0,0
APPLAUDS,0,0
APPLE,0,0
APPLICABLE,0,0
APPLIED,0,0
APPLIES,0,0
APPLY,0,0
APPOINTED,0.000204939030638385,2
APPRAISED,0,0
APPRECIATE,0,0
APPRECIATED,0,0
APPRECIATES,0,0
APPROACHED,0,0
APPROACHING,0,0
APPROPRIATE,0,0
APPROPRIATED,0,0
APPROVE,0,0
APPROVED,0,0
ARE,0.00993954298596168,97
AREA,0.00194692079106466,19
AREAS,0.00040987806127677,4
ARENA,0,0
ARGUE,0,0
ARGUED,0,0
ARISE,0,0
ARISEN,0,0
ARMED,0.00471359770468286,46
ARMENIA,0,0
ARMY,0.00573829285787478,56
AROSE,0,0
ARRAIGNED,0,0
ARRANGE,0,0
ARRANGED,0,0
ARREST,0.000307408545957578,3
ARRESTED,0.00102469515319193,10
ARRESTING,0,0
ARRIVE,0.000204939030638385,2
ARRIVED,0.000614817091915155,6
ARRIVES,0,0
ARROGANT,0,0
ASHAMED,0,0
ASK,0.000102469515319193,1
ASKED,0.000717286607234348,7
ASKING,0.000102469515319193,1
ASKS,0,0
ASPIRE,0,0
ASSASSINATE,0,0
ASSASSINATED,0.000204939030638385,2
ASSASSINATION,0.000614817091915155,6
ASSASSINS,0,0
ASSAULTED,0,0
ASSERTED,0.000102469515319193,1
ASSERTS,0,0
ASSESS,0.000102469515319193,1
ASSESSED,0,0
ASSIGN,0,0
ASSIGNED,0.000102469515319193,1
ASSIGNS,0,0
ASSIST,0,0
ASSISTED,0,0
ASSISTING,0,0
ASSOCIATED,0.000102469515319193,1
ASSUME,0.000204939030638385,2
ASSUMED,0,0
ASSUMES,0,0
ASSUMING,0.000102469515319193,1
ASSURE,0.000102469515319193,1
ASSURED,0.000102469515319193,1
ATTACH,0.000102469515319193,1
ATTACHED,0,0
ATTACK,0.00112716466851112,11
ATTACKED,0.000717286607234348,7
ATTACKING,0.000102469515319193,1
ATTACKS,0.00153704272978789,15
ATTAIN,0.000204939030638385,2
ATTAINED,0,0
ATTAINS,0,0
ATTEMPT,0.000614817091915155,6
ATTEMPTED,0.000204939030638385,2
ATTEMPTING,0,0
ATTEMPTS,0,0
ATTEND,0.000204939030638385,2
ATTENDED,0,0
ATTENDING,0,0
ATTENDS,0,0
ATTENTIVE,0,0
ATTEST,0,0
ATTIRE,0,0
ATTITUDE,0,0
ATTRIBUTE,0,0
ATTRIBUTED,0.000307408545957578,3
ATTRIBUTES,0,0
ATTRIBUTING,0,0
AUGMENTED,0,0
AUTHOR,0.000102469515319193,1
AUTHORITY,0,0
AUTHORIZE,0,0
AUTHORIZED,0.000102469515319193,1
AUTHORIZES,0,0
AVAILABLE,0.000204939030638385,2
AVAILED,0,0
AVENGE,0,0
AVOID,0.000204939030638385,2
AVOIDED,0,0
AWAIT,0,0
AWAITING,0,0
AWAKEN,0,0
AWAKENS,0,0
AWARDED,0,0
AWARE,0.000102469515319193,1
AWATING,0,0
AWOKE,0,0
AYLWIN,0.000102469515319193,1
BACK,0.000307408545957578,3
BACKED,0,0
BACKFIRED,0,0
BACKING,0,0
BAD,0,0
BALANCE,0,0
