verbList,verbProbabilities,verbCounts
$,0,0
-LSB-,0,0
-RSB-,0,0
0500,0,0
1,0.00102827763496144,2
2,0,0
3,0.00102827763496144,2
4,0.00051413881748072,1
45,0,0
82-YEARS-OLD,0,0
88,0.00102827763496144,2
89,0.00411311053984576,8
90,0.0025706940874036,5
A,0.0390745501285347,76
ABANDON,0,0
ABANDONED,0,0
ABDUCTED,0,0
ABIDE,0,0
ABIDING,0,0
ABLE,0,0
ABOUT,0.00102827763496144,2
ABSENT,0,0
ABSENTMINDED,0,0
ABSORBED,0,0
ABSTAIN,0,0
ABSTAINED,0,0
ABSURD,0,0
ABUSE,0,0
ABUSED,0,0
ABUSING,0,0
ACCELERATE,0,0
ACCELERATED,0,0
ACCEPT,0,0
ACCEPTABLE,0,0
ACCEPTED,0,0
ACCEPTING,0,0
ACCEPTS,0,0
ACCOMPANIED,0,0
ACCOMPANY,0,0
ACCOMPANYING,0,0
ACCOMPLICE,0,0
ACCOMPLICES,0,0
ACCOMPLISHED,0,0
ACCOMPLISHING,0,0
ACCOUNT,0,0
ACCUMULATED,0,0
ACCUMULATING,0,0
ACCUSE,0,0
ACCUSED,0,0
ACCUSES,0,0
ACCUSING,0,0
ACCUSTOMED,0,0
ACHIEVE,0.00051413881748072,1
ACHIEVED,0.00051413881748072,1
ACHIEVEMENT,0,0
ACHIEVES,0,0
ACHIEVING,0,0
ACKNOWLEDGE,0,0
ACKNOWLEDGED,0,0
ACKNOWLEDGES,0,0
ACKNOWLEDGING,0,0
ACQUAINTED,0,0
ACQUIRED,0,0
ACQUIRES,0,0
ACQUIRING,0,0
ACQUITTED,0,0
ACT,0,0
ACTED,0,0
ACTING,0,0
ACTION,0.00154241645244216,3
ACTIONS,0.00102827763496144,2
ACTIVATED,0,0
ACTIVE,0,0
ACTIVITS,0,0
ACTIVITY,0,0
ACTS,0,0
ADAPTED,0,0
ADD,0,0
ADDED,0.0025706940874036,5
ADDING,0.00102827763496144,2
ADDRESS,0,0
ADDRESSED,0,0
ADDRESSING,0,0
ADDS,0.00051413881748072,1
ADHERED,0,0
ADJOINS,0,0
ADJUST,0,0
ADMINISTRATION,0.00205655526992288,4
ADMIRABLE,0,0
ADMIRE,0,0
ADMIT,0,0
ADMITS,0,0
ADMITTED,0,0
ADMITTING,0,0
ADOPT,0,0
ADOPTED,0,0
ADOPTS,0,0
ADVANCE,0,0
ADVANCED,0,0
ADVANCEMENT,0,0
ADVANCING,0,0
ADVERSARY,0,0
ADVISABLE,0,0
ADVISE,0,0
ADVISED,0,0
ADVISERS,0,0
ADVISES,0,0
ADVOCATE,0,0
ADVOCATED,0,0
ADVOCATES,0,0
AFFECT,0,0
AFFECTED,0,0
AFFECTING,0.00051413881748072,1
AFFECTS,0,0
AFFILIATE,0,0
AFFILITATED,0,0
AFFIRM,0,0
AFFIRMED,0,0
AFFLICTED,0,0
AFFLICTING,0,0
AFFLICTS,0,0
AFFORD,0,0
AFRAID,0,0
AFTERNOON,0,0
AGENDA,0,0
AGGRAVATE,0,0
AGGRAVATED,0,0
AGREE,0.00102827763496144,2
AGREED,0,0
AGREEMENT,0.00051413881748072,1
AGREEMENTS,0,0
AGREES,0,0
AGRESSIONS,0,0
AID,0,0
AIDED,0,0
AIDS,0,0
AIM,0,0
AIMED,0.00051413881748072,1
AIMING,0,0
AIMS,0,0
AIR,0.00154241645244216,3
AIRED,0,0
ALARMED,0,0
ALARMING,0,0
ALARMS,0,0
ALERT,0.00102827763496144,2
ALERTED,0.00051413881748072,1
ALIAS,0,0
ALIVE,0,0
ALL,0.00102827763496144,2
ALLEGE,0,0
ALLEGED,0.00102827763496144,2
ALLIANCE,0,0
ALLIED,0,0
ALLIES,0,0
ALLOCATED,0,0
ALLOTED,0,0
ALLOTTED,0,0
ALLOW,0,0
ALLOWED,0,0
ALLOWING,0,0
ALLOWS,0,0
ALLUDED,0,0
ALLUSION,0,0
ALONE,0,0
ALSO,0.00668380462724936,13
ALVARADO,0,0
ALVAREZ,0,0
AM,0,0
AMAZED,0,0
AMBUSHED,0.00102827763496144,2
AMEND,0,0
AMENDS,0,0
AMERICAN,0.00051413881748072,1
AMMUNITION,0.00154241645244216,3
AMOUNT,0,0
AMOUNTED,0,0
AMOUNTS,0,0
ANACHRONISTIC,0,0
ANALYSIS,0,0
ANALYZE,0,0
ANALYZED,0,0
ANALYZES,0,0
ANALYZING,0,0
ANNIHILATE,0,0
ANNIHILATED,0,0
ANNOUNCE,0,0
ANNOUNCED,0.0025706940874036,5
ANNOUNCEDS,0,0
ANNOUNCEMENT,0,0
ANNOUNCES,0,0
ANNOUNCING,0,0
ANNULLED,0,0
ANONYMOUS,0,0
ANSWER,0,0
ANSWERED,0,0
ANTICIPATE,0,0
ANTICIPATED,0,0
APOLOGIZE,0,0
APPARENTLEY,0,0
APPARENTLY,0,0
APPEAL,0,0
APPEALED,0,0
APPEALING,0,0
APPEAR,0,0
APPEARED,0,0
APPEARING,0,0
APPEARS,0.00051413881748072,1
APPLAUD,0,0
APPLAUDED,0,0
APPLAUDS,0,0
APPLE,0,0
APPLICABLE,0,0
APPLIED,0,0
APPLIES,0,0
APPLY,0,0
APPOINTED,0,0
APPRAISED,0,0
APPRECIATE,0,0
APPRECIATED,0,0
APPRECIATES,0,0
APPROACHED,0,0
APPROACHING,0,0
APPROPRIATE,0,0
APPROPRIATED,0,0
APPROVE,0,0
APPROVED,0,0
ARE,0.00616966580976864,12
AREA,0.00359897172236504,7
AREAS,0.00051413881748072,1
ARENA,0,0
ARGUE,0,0
ARGUED,0,0
ARISE,0,0
ARISEN,0,0
ARMED,0.00719794344473008,14
ARMENIA,0,0
ARMY,0.00822622107969152,16
AROSE,0,0
ARRAIGNED,0,0
ARRANGE,0,0
ARRANGED,0,0
ARREST,0.00051413881748072,1
ARRESTED,0.00102827763496144,2
ARRESTING,0.00051413881748072,1
ARRIVE,0,0
ARRIVED,0.00154241645244216,3
ARRIVES,0,0
ARROGANT,0,0
ASHAMED,0,0
ASK,0.00051413881748072,1
ASKED,0.00154241645244216,3
ASKING,0,0
ASKS,0,0
ASPIRE,0,0
ASSASSINATE,0,0
ASSASSINATED,0,0
ASSASSINATION,0,0
ASSASSINS,0,0
ASSAULTED,0,0
ASSERTED,0,0
ASSERTS,0,0
ASSESS,0,0
ASSESSED,0,0
ASSIGN,0,0
ASSIGNED,0,0
ASSIGNS,0,0
ASSIST,0,0
ASSISTED,0,0
ASSISTING,0,0
ASSOCIATED,0,0
ASSUME,0.00051413881748072,1
ASSUMED,0,0
ASSUMES,0,0
ASSUMING,0,0
ASSURE,0,0
ASSURED,0,0
ATTACH,0,0
ATTACHED,0,0
ATTACK,0.00205655526992288,4
ATTACKED,0.00205655526992288,4
ATTACKING,0,0
ATTACKS,0.00102827763496144,2
ATTAIN,0,0
ATTAINED,0,0
ATTAINS,0,0
ATTEMPT,0,0
ATTEMPTED,0,0
ATTEMPTING,0,0
ATTEMPTS,0,0
ATTEND,0,0
ATTENDED,0,0
ATTENDING,0,0
ATTENDS,0,0
ATTENTIVE,0,0
ATTEST,0,0
ATTIRE,0,0
ATTITUDE,0,0
ATTRIBUTE,0,0
ATTRIBUTED,0,0
ATTRIBUTES,0,0
ATTRIBUTING,0,0
AUGMENTED,0,0
AUTHOR,0,0
AUTHORITY,0,0
AUTHORIZE,0,0
AUTHORIZED,0,0
AUTHORIZES,0,0
AVAILABLE,0,0
AVAILED,0,0
AVENGE,0,0
AVOID,0.00051413881748072,1
AVOIDED,0,0
AWAIT,0,0
AWAITING,0,0
AWAKEN,0,0
AWAKENS,0,0
AWARDED,0,0
AWARE,0,0
AWATING,0,0
AWOKE,0,0
AYLWIN,0,0
BACK,0.00051413881748072,1
BACKED,0,0
BACKFIRED,0,0
BACKING,0,0
BAD,0.00051413881748072,1
BALANCE,0,0
BAND,0,0
BANNED,0,0
BAR,0,0
BARED,0,0
BARRANQUILLA,0,0
BASE,0.00102827763496144,2
BASED,0,0
BASES,0,0
BE,0.00616966580976864,12
BEAR,0,0
BEARS,0,0
BEAT,0,0
BEATEN,0,0
BECAME,0,0
BECOME,0.00051413881748072,1
BECOMES,0,0
BECOMING,0.00051413881748072,1
BEEFED,0,0
BEEN,0.0107969151670951,21
BEG,0,0
BEGAN,0.00051413881748072,1
BEGETS,0,0
BEGIN,0.00102827763496144,2
BEGINING,0,0
BEGINNING,0,0
BEGINS,0,0
BEGUN,0,0
BEHAVE,0,0
BEHAVED,0,0
BEHAVING,0,0
BELEIVE,0,0
BELIES,0,0
BELIEVE,0.00051413881748072,1
BELIEVED,0,0
BELIEVES,0,0
BELIEVING,0,0
BELONG,0,0
BELONGED,0,0
BELONGING,0,0
BELONGS,0,0
